residential_area_score,name,latitude,longitude
2.73080864681957e-002,1ère  avenue /St-Zotique,45.55194,-73.59393
2.72826828552441e-002,18e avenue / Rosemont,45.5579,-73.57653
2.71728215566884e-002,Jardin Botanique (Pie-IX / Sherbrooke),45.55521,-73.55582
2.70287635060771e-002,"Parc Rosemont (Dandurand / d'Iberville)",45.54438,-73.58102
2.69967358181787e-002,Louis-Hébert / Belllechasse,45.5468,-73.58889
2.69526371559089e-002,Parc du Pélican (2e avenue / St-Joseph),45.54451,-73.57156
2.68984129004317e-002,de Bullion / St-Joseph,45.52404,-73.59014
2.68684744894716e-002,St-Zotique / Clark,45.5314,-73.61267
2.6857180231742e-002,Cartier / St-Joseph,45.53576,-73.57867
2.6802980859543e-002,Lajeunesse / de Castelnau,45.5404,-73.61682
2.67694814618877e-002,7e avenue / St-Joseph,45.54723,-73.56987
2.64961130168201e-002,Villeneuve / St-Urbain,45.52019,-73.59056
2.64656043460227e-002,Cote St-Paul / St-Ambroise,45.46767,-73.59392
0.02642324515968,Fullum / Jean Langlois,45.52613,-73.54601
2.6252228456716e-002,Henri-Julien / Carmel,45.52784,-73.59482
2.61997675789002e-002,Métro Lasalle (de Rushbrooke / Caisse),45.4707,-73.56542
2.61271112886108e-002,Dandurand / Papineau,45.5387,-73.58622
2.5717486130769e-002,de Bellechasse / de St-Vallier,45.53335,-73.60114
2.56811659243614e-002,Messier / Hochelaga,45.53223,-73.56062
2.55767229253045e-002,CHSLD St-Michel (Jarry / 8e avenue),45.56169,-73.61051
2.54495152237847e-002,Gordon / Wellington,45.46108,-73.56731
2.54414948381337e-002,Greene / Workman,45.48119,-73.57935
2.54069675482912e-002,Villeneuve / du Parc,45.51829,-73.59235
2.53121267760951e-002,de Bordeaux /Gilford,45.53611,-73.57629
2.52515112300583e-002,Métro Vendôme,45.47414,-73.6036
2.52132250299281e-002,Berri / Jean-Talon,45.53903,-73.61432
2.50847041900693e-002,Waverly / St-Zotique,45.53051,-73.61471
2.5052065521285e-002,St-André / Laurier,45.52956,-73.5876
2.49591345885761e-002,Ernest-Gendreau / du Mont-Royal,45.54971,-73.56385
2.49327170845986e-002,Gilford / de Brébeuf,45.53082,-73.58163
2.48787400860214e-002,Villeneuve / St-Laurent,45.52134,-73.58942
2.48275122240357e-002,Marché Atwater,45.48021,-73.5776
2.47302930782234e-002,de la Roche / Everett,45.54487,-73.61484
2.46067137622728e-002,Rousselot / Jarry,45.55077,-73.62091
2.45419502307861e-002,Jeanne Mance / du Mont-Royal,45.51764,-73.58893
2.45141068235333e-002,"Villeneuve / de l'Hôtel-de-Ville",45.52354,-73.58733
2.44983758162624e-002,Bel Air / St-Antoine,45.48278,-73.58453
2.44760582719793e-002,Waverly / Fairmount,45.52211,-73.5962
2.4285204937306e-002,de Gaspé / Dante,45.53436,-73.61223
2.41512890913944e-002,Fullum / St-Joseph,45.53983,-73.57556
2.40586923309786e-002,LaSalle / Crawford,45.43791,-73.58274
2.40581868872395e-002,de Bordeaux / Masson,45.53899,-73.58244
2.40363635677155e-002,Henri-Julien / du Mont-Royal,45.52285,-73.58361
2.39883713448646e-002,Drolet / Laurier,45.52625,-73.58976
2.38867155387597e-002,Messier / du Mont-Royal,45.53711,-73.57101
2.37960828743348e-002,Fullum / Gilford,45.53922,-73.57384
2.34996127989062e-002,Cartier / Masson,45.53806,-73.58337
2.34992696167529e-002,15e avenue / Masson,45.55391,-73.57142
2.34352298374347e-002,Gauthier / Papineau,45.52969,-73.5674
2.33394879978217e-002,Marquette / St-Grégoire,45.53703,-73.58584
2.32233933670709e-002,de Bullion / du Mont-Royal,45.52148,-73.58498
2.32093987039777e-002,du Mont-Royal / du Parc,45.517,-73.589
2.31715563876078e-002,de Champlain / Ontario,45.52505,-73.56004
2.31179532544034e-002,Parthenais / Mont-Royal,45.53637,-73.57142
2.30006193623104e-002,Ontario / du Havre,45.53366,-73.5522
2.29507836774633e-002,Alexandre-DeSève / de Maisonneuve,45.5219,-73.55534
2.28533123387026e-002,de la Roche /  de Bellechasse,45.53716,-73.59747
2.28449617281829e-002,Logan / de Champlain,45.52319,-73.55584
2.28015854931173e-002,Dorion / Ontario,45.52697,-73.55802
2.27597453681088e-002,Laurier / de Bordeaux,45.53726,-73.57917
2.26305632140411e-002,Jeanne-Mance / St-Viateur,45.52282,-73.6013
2.26304057522561e-002,de Chambly / Rachel,45.54991,-73.55827
2.24633095850879e-002,Terrasse Guindon / Fullum,45.53711,-73.56914
2.24139203302452e-002,Cartier / Marie-Anne,45.53267,-73.57178
2.23565644035266e-002,Parthenais / Ste-Catherine,45.5262,-73.54926
2.23175356334958e-002,Gauthier / De Lorimier,45.53182,-73.56532
2.23000611314602e-002,Garnier / du Mont-Royal,45.53092,-73.57674
2.2283146250157e-002,Louis-Hémon / Villeray,45.55496,-73.61074
2.22441327901393e-002,Boyer / du Mont-Royal,45.52743,-73.57992
2.21421347045881e-002,28e avenue / Rosemont,45.56435,-73.57124
2.21415745826703e-002,Métro Place St-Henri (St-Ferdinand / St-Jacques),45.47725,-73.58723
2.21267746885913e-002,Sherbrooke / Frontenac,45.5367,-73.56081
2.2104453148624e-002,Quesnel / Vinet,45.48589,-73.57751
2.20833446803524e-002,Hôpital général juif (de la Côte Ste-Catherine / Légaré),45.4963,-73.62982
2.19738789928944e-002,Terrasse Mercure / Fullum,45.53569,-73.56593
2.19583227046165e-002,de Mentana / Laurier,45.53004,-73.58677
2.18838029416999e-002,St-Charles / Sauvé,45.55606,-73.6535
2.18693712986911e-002,de Gaspé / Marmier,45.52969,-73.60173
2.18584834789629e-002,Chapleau / du Mont-Royal,45.53867,-73.56936
2.18396294420038e-002,Atwater / Sherbrooke,45.49123,-73.58763
2.18356901605951e-002,Marie-Anne / de la Roche,45.52776,-73.57619
2.17485425965115e-002,des Érables / Gauthier,45.53241,-73.56477
2.17071083346972e-002,Garnier / St-Joseph,45.53298,-73.58122
2.16467847061223e-002,des Érables / Bélanger,45.54912,-73.60088
2.16418120812554e-002,Métro Sauvé (Berri / Sauvé),45.55069,-73.65636
2.16005171643996e-002,Gare Canora,45.51378,-73.63246
2.1585827989215e-002,Larivière / de Lorimier,45.52913,-73.55923
2.1554844003145e-002,du Mont-Royal / Clark,45.51941,-73.58685
2.13540222290812e-002,Plessis / René-Lévesque,45.51937,-73.55196
2.13284986116666e-002,de Bordeaux / Rachel,45.53227,-73.56828
2.1318484678797e-002,de Kent / Victoria,45.4948,-73.63877
2.13040588752622e-002,Chambord / Laurier,45.53293,-73.58415
2.12656812225014e-002,Bercy / Ontario,45.53456,-73.55075
2.12166350065236e-002,Marie-Anne / St-Hubert,45.52464,-73.57876
2.1180958969011e-002,Grand Trunk / Hibernia,45.47968,-73.56385
2.11494067981025e-002,de Maisonneuve / Greene,45.48697,-73.58929
2.11486408948888e-002,de Chateaubriand / Beaubien,45.53551,-73.60388
2.11134402476624e-002,de Bordeaux / Marie-Anne,45.53341,-73.57066
2.10843472052374e-002,de Bordeaux / Sherbrooke,45.52997,-73.56305
2.10840691467811e-002,Vallières / St-Laurent,45.51898,-73.58363
2.10604692269828e-002,de Lanaudière / Marie-Anne,45.52922,-73.57478
2.09443225675193e-002,Gounod / St-Denis,45.54182,-73.62611
2.08990584437785e-002,Calixa-Lavallée / Rachel,45.52779,-73.57194
2.08818905647608e-002,Desjardins / Hochelaga,45.55349,-73.54829
2.08758290115151e-002,Plessis / Ontario,45.52358,-73.56094
2.08438882511039e-002,Mentana / Marie-Anne,45.52603,-73.57786
2.08386033246269e-002,de la Roche / St-Joseph,45.53116,-73.58369
2.08384931511172e-002,Omer-Lavallée / du Midway,45.54578,-73.56217
2.06842491242711e-002,Marquette / Rachel,45.5298,-73.57029
2.06767461308108e-002,Rachel / de Brébeuf,45.52689,-73.57264
2.06673432468614e-002,Laurier / 15e avenue,45.55322,-73.5695
2.06569054186133e-002,Regina / de Verdun,45.46737,-73.57077
2.05051009376356e-002,Lincoln / Lambert Closse,45.49138,-73.58601
2.03887312564993e-002,Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.55158,-73.56191
2.03204910319328e-002,16e avenue / St-Joseph,45.55292,-73.56575
2.0219402523413e-002,"Ross / de l'Église",45.46274,-73.56584
2.02122899503515e-002,de Lanaudière / Gilford,45.53199,-73.58067
2.01533117455786e-002,Resther / St-Joseph,45.52773,-73.58628
1.99191946600628e-002,des Érables / Rachel,45.5335,-73.56693
1.98567285056397e-002,Laval / Rachel,45.52018,-73.57942
1.97730013711832e-002,Fairmount / St-Dominique,45.52451,-73.59414
1.97000251770133e-002,du Parc-La Fontaine / Duluth,45.52457,-73.57207
1.96888056737491e-002,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545
1.95631169247097e-002,Fabre / St-Zotique,45.54345,-73.60101
1.9531379357601e-002,Island / Centre,45.48149,-73.56475
1.94493296542586e-002,Émile-Duployé / Sherbrooke,45.52729,-73.56463
1.9443339786368e-002,de la Commune / King,45.49803,-73.55267
